Devices
10000
,,Imported Generic Analog #2 - Electric Potential,
Frame,Sub Frame,Trigger
,,V
1,0,-0.000610352
1,1,-0.000610352
1,2,-0.000610352
1,3,-0.000610352
1,4,-0.000610352
1,5,-0.000610352
1,6,-0.000610352
1,7,-0.000305176
1,8,-0.000915527
1,9,-0.000610352
1,10,-0.000305176
1,11,-0.000610352
1,12,-0.000915527
1,13,-0.000305176
1,14,0
1,15,-0.000305176
1,16,-0.000610352
1,17,-0.000305176
1,18,-0.000610352
1,19,-0.000610352
1,20,-0.000305176
1,21,-0.000610352
1,22,-0.000610352
1,23,-0.000305176
1,24,-0.0012207
1,25,-0.000610352
1,26,-0.000915527
1,27,0
1,28,0
1,29,0
1,30,-0.000610352
1,31,-0.000305176
1,32,-0.000305176
1,33,-0.000610352
1,34,-0.000610352
1,35,-0.000305176
1,36,0
1,37,-0.000610352
1,38,-0.000915527
1,39,-0.000610352
1,40,0
1,41,-0.000610352
1,42,-0.000610352
1,43,-0.000915527
1,44,-0.000915527
1,45,0
1,46,-0.000610352
1,47,0
1,48,-0.000610352
1,49,-0.000610352
1,50,-0.000610352
1,51,-0.000305176
1,52,0
1,53,-0.000915527
1,54,-0.000305176
1,55,-0.000305176
1,56,-0.000915527
1,57,-0.000305176
1,58,-0.000915527
1,59,-0.000305176
1,60,0
1,61,-0.000610352
1,62,-0.000915527
1,63,-0.000610352
1,64,-0.000915527
1,65,-0.000305176
1,66,-0.000610352
1,67,-0.000305176
1,68,-0.000305176
1,69,0
1,70,-0.000610352
1,71,0
1,72,-0.000610352
1,73,-0.000610352
1,74,-0.000610352
1,75,-0.000610352
1,76,-0.000610352
1,77,-0.000305176
1,78,-0.000610352
1,79,-0.000305176
1,80,-0.000305176
1,81,-0.0012207
1,82,-0.000915527
1,83,-0.000915527
1,84,-0.000305176
1,85,-0.000305176
1,86,-0.000305176
1,87,-0.000915527
1,88,-0.000610352
1,89,-0.000610352
1,90,-0.000610352
1,91,-0.000915527
1,92,-0.000305176
1,93,-0.000610352
1,94,-0.000915527
1,95,-0.000305176
1,96,-0.000305176
1,97,-0.000610352
1,98,-0.000915527
1,99,-0.000305176
2,0,0
2,1,-0.000610352
2,2,-0.000610352
2,3,-0.000610352
2,4,-0.000305176
2,5,-0.000915527
2,6,-0.000305176
2,7,0
2,8,-0.000305176
2,9,-0.000610352
2,10,-0.000305176
2,11,-0.000915527
2,12,-0.000305176
2,13,-0.000610352
2,14,-0.000610352
2,15,-0.000915527
2,16,-0.000610352
2,17,0
2,18,-0.000610352
2,19,-0.000610352
2,20,-0.000610352
2,21,0
2,22,-0.000305176
2,23,-0.000610352
2,24,-0.000610352
2,25,-0.000610352
2,26,0
2,27,-0.000305176
2,28,-0.000305176
2,29,-0.000610352
2,30,-0.000305176
2,31,-0.000305176
2,32,-0.000610352
2,33,0
2,34,-0.000305176
2,35,-0.000610352
2,36,-0.000610352
2,37,-0.000610352
2,38,-0.000610352
2,39,-0.000610352
2,40,-0.000610352
2,41,-0.000915527
2,42,-0.000610352
2,43,-0.000610352
2,44,-0.000305176
2,45,-0.000915527
2,46,0
2,47,-0.000305176
2,48,0.000305176
2,49,-0.000305176
2,50,-0.000610352
2,51,-0.000610352
2,52,-0.000915527
2,53,0
2,54,-0.000305176
2,55,-0.000610352
2,56,-0.000610352
2,57,-0.000305176
2,58,-0.000610352
2,59,0
2,60,-0.000610352
2,61,0
2,62,-0.000610352
2,63,-0.000915527
2,64,-0.000915527
2,65,-0.000610352
2,66,-0.000915527
2,67,-0.000610352
2,68,-0.000915527
2,69,-0.000305176
2,70,-0.000610352
2,71,-0.000915527
2,72,0
2,73,0
2,74,0
2,75,-0.000610352
2,76,-0.000915527
2,77,0
2,78,-0.000915527
2,79,-0.000610352
2,80,-0.000915527
2,81,-0.000305176
2,82,-0.000305176
2,83,-0.000305176
2,84,-0.000915527
2,85,-0.000305176
2,86,-0.000305176
2,87,-0.000610352
2,88,-0.000305176
2,89,-0.000305176
2,90,-0.000305176
2,91,-0.000610352
2,92,-0.000610352
2,93,-0.0012207
2,94,-0.000610352
2,95,-0.000610352
2,96,-0.000305176
2,97,0
2,98,-0.000610352
2,99,-0.000305176
3,0,-0.000610352
3,1,-0.000610352
3,2,-0.000610352
3,3,0
3,4,-0.00152588
3,5,-0.000305176
3,6,-0.000610352
3,7,-0.000305176
3,8,-0.000305176
3,9,-0.000610352
3,10,-0.000915527
3,11,-0.000305176
3,12,-0.000305176
3,13,-0.000915527
3,14,-0.000915527
3,15,-0.000305176
3,16,-0.000610352
3,17,-0.000610352
3,18,-0.000610352
3,19,-0.000305176
3,20,-0.000610352
3,21,-0.000305176
3,22,-0.000915527
3,23,-0.000305176
3,24,-0.000305176
3,25,-0.000915527
3,26,-0.000610352
3,27,-0.000305176
3,28,-0.000610352
3,29,-0.000915527
3,30,-0.000610352
3,31,-0.000305176
3,32,-0.000610352
3,33,-0.000305176
3,34,-0.000305176
3,35,-0.000610352
3,36,-0.000305176
3,37,-0.0012207
3,38,-0.000610352
3,39,-0.000305176
3,40,-0.000915527
3,41,-0.000610352
3,42,-0.000915527
3,43,-0.000610352
3,44,0
3,45,-0.000915527
3,46,-0.000305176
3,47,-0.0012207
3,48,-0.000305176
3,49,-0.000305176
3,50,-0.000915527
3,51,-0.000915527
3,52,-0.000610352
3,53,-0.000610352
3,54,-0.000610352
3,55,-0.000610352
3,56,-0.000610352
3,57,-0.000610352
3,58,-0.000915527
3,59,0
3,60,-0.000915527
3,61,0
